company|version|date|rating|count
airbnb|"1.1.2"|5|2011-08-21|1
airbnb|"1.1.2"|5|2011-10-17|1
airbnb|"1.1.2"|5|2011-10-27|1
airbnb|"1.2"|1|2011-07-30|1
airbnb|"1.2"|2|2011-08-07|1
airbnb|"1.2"|3|2011-08-08|1
airbnb|"1.2"|4|2011-07-18|1
airbnb|"1.2"|4|2011-07-20|1
airbnb|"1.2"|4|2011-07-22|2
airbnb|"1.2"|4|2011-07-23|1
airbnb|"1.2"|4|2011-08-02|1
airbnb|"1.2"|4|2011-08-03|2
airbnb|"1.2"|5|2011-07-16|1
airbnb|"1.2"|5|2011-07-17|1
airbnb|"1.2"|5|2011-07-18|1
airbnb|"1.2"|5|2011-07-19|1
airbnb|"1.2"|5|2011-07-20|1
airbnb|"1.2"|5|2011-07-21|2
airbnb|"1.2"|5|2011-07-22|1
airbnb|"1.2"|5|2011-07-23|3
airbnb|"1.2"|5|2011-07-24|2
airbnb|"1.2"|5|2011-07-25|1
airbnb|"1.2"|5|2011-07-26|1
airbnb|"1.2"|5|2011-07-28|1
airbnb|"1.2"|5|2011-07-29|2
airbnb|"1.2"|5|2011-07-30|3
airbnb|"1.2"|5|2011-07-31|1
airbnb|"1.2"|5|2011-08-01|1
airbnb|"1.2"|5|2011-08-02|1
airbnb|"1.2"|5|2011-08-03|2
airbnb|"1.2"|5|2011-08-24|1
airbnb|"1.2"|5|2011-10-08|1
airbnb|"1.2.1"|2|2011-08-21|1
airbnb|"1.2.1"|2|2011-08-26|1
airbnb|"1.2.1"|3|2011-08-26|1
airbnb|"1.2.1"|4|2011-08-24|1
airbnb|"1.2.1"|4|2011-08-29|1
airbnb|"1.2.1"|4|2011-09-04|1
airbnb|"1.2.1"|4|2011-09-05|1
airbnb|"1.2.1"|4|2011-10-20|1
airbnb|"1.2.1"|5|2011-08-20|1
airbnb|"1.2.1"|5|2011-08-21|2
airbnb|"1.2.1"|5|2011-08-22|1
airbnb|"1.2.1"|5|2011-08-24|3
airbnb|"1.2.1"|5|2011-08-26|1
airbnb|"1.2.1"|5|2011-08-31|2
airbnb|"1.2.1"|5|2011-09-02|2
airbnb|"1.2.1"|5|2011-09-03|1
airbnb|"1.2.1"|5|2011-09-04|2
airbnb|"1.2.1"|5|2011-10-12|1
airbnb|"1.2.1"|5|2011-10-22|1
airbnb|"1.2.1"|5|2011-12-20|1
airbnb|"1.2.2"|2|2011-10-20|1
airbnb|"1.2.2"|3|2011-10-15|1
airbnb|"1.2.2"|3|2011-10-21|1
airbnb|"1.2.2"|4|2011-10-02|1
airbnb|"1.2.2"|4|2011-10-08|1
airbnb|"1.2.2"|4|2011-10-10|1
airbnb|"1.2.2"|4|2011-10-11|1
airbnb|"1.2.2"|4|2011-10-14|1
airbnb|"1.2.2"|4|2011-10-26|1
airbnb|"1.2.2"|5|2011-09-19|1
airbnb|"1.2.2"|5|2011-09-20|1
airbnb|"1.2.2"|5|2011-09-21|2
airbnb|"1.2.2"|5|2011-09-22|1
airbnb|"1.2.2"|5|2011-09-23|1
airbnb|"1.2.2"|5|2011-09-24|2
airbnb|"1.2.2"|5|2011-09-25|2
airbnb|"1.2.2"|5|2011-09-26|1
airbnb|"1.2.2"|5|2011-10-02|1
airbnb|"1.2.2"|5|2011-10-03|1
airbnb|"1.2.2"|5|2011-10-06|1
airbnb|"1.2.2"|5|2011-10-08|1
airbnb|"1.2.2"|5|2011-10-10|1
airbnb|"1.2.2"|5|2011-10-11|1
airbnb|"1.2.2"|5|2011-10-16|1
airbnb|"1.2.2"|5|2011-10-18|3
airbnb|"1.2.2"|5|2011-10-19|2
airbnb|"1.2.2"|5|2011-10-20|1
airbnb|"1.2.2"|5|2011-10-21|2
airbnb|"1.2.2"|5|2011-10-23|1
airbnb|"1.2.2"|5|2011-10-24|1
airbnb|"1.2.2"|5|2011-10-26|1
airbnb|"1.2.2"|5|2011-10-27|1
airbnb|"1.2.2"|5|2011-12-15|1
airbnb|"1.2.3"|1|2011-12-21|1
airbnb|"1.2.3"|2|2011-11-03|1
airbnb|"1.2.3"|2|2011-12-08|1
airbnb|"1.2.3"|3|2011-11-07|1
airbnb|"1.2.3"|3|2011-11-15|1
airbnb|"1.2.3"|3|2011-11-25|1
airbnb|"1.2.3"|3|2012-01-05|1
airbnb|"1.2.3"|3|2012-02-16|1
airbnb|"1.2.3"|3|2012-02-19|1
airbnb|"1.2.3"|4|2011-10-28|1
airbnb|"1.2.3"|4|2011-11-02|1
airbnb|"1.2.3"|4|2011-11-05|1
airbnb|"1.2.3"|4|2011-11-07|1
airbnb|"1.2.3"|4|2011-11-15|1
airbnb|"1.2.3"|4|2011-11-16|1
airbnb|"1.2.3"|4|2011-11-27|1
airbnb|"1.2.3"|4|2011-12-04|1
airbnb|"1.2.3"|4|2011-12-20|1
airbnb|"1.2.3"|4|2011-12-31|1
airbnb|"1.2.3"|4|2012-01-07|1
airbnb|"1.2.3"|4|2012-02-05|1
airbnb|"1.2.3"|4|2012-02-07|1
airbnb|"1.2.3"|4|2012-02-08|1
airbnb|"1.2.3"|5|2011-10-28|1
airbnb|"1.2.3"|5|2011-10-29|1
airbnb|"1.2.3"|5|2011-10-30|2
airbnb|"1.2.3"|5|2011-11-01|2
airbnb|"1.2.3"|5|2011-11-03|1
airbnb|"1.2.3"|5|2011-11-06|1
airbnb|"1.2.3"|5|2011-11-07|1
airbnb|"1.2.3"|5|2011-11-12|2
airbnb|"1.2.3"|5|2011-11-13|1
airbnb|"1.2.3"|5|2011-11-17|2
airbnb|"1.2.3"|5|2011-11-18|2
